episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
237,30236,white,1-0,1.0,1.0,73,checkmate,False
238,30237,black,1/2-1/2,0.0,0.5,100,max_plies,False
239,30238,white,1/2-1/2,0.0,0.5,22,threefold_repetition,False
240,30239,black,1/2-1/2,0.0,0.5,93,threefold_repetition,False
241,30240,white,1-0,1.0,1.0,19,checkmate,False
242,30241,black,1/2-1/2,0.0,0.5,100,max_plies,False
243,30242,white,1-0,1.0,1.0,21,checkmate,False
244,30243,black,0-1,1.0,1.0,80,checkmate,False
245,30244,white,1/2-1/2,0.0,0.5,100,max_plies,False
246,30245,black,0-1,1.0,1.0,88,checkmate,False
247,30246,white,1-0,1.0,1.0,81,checkmate,False
248,30247,black,0-1,1.0,1.0,68,checkmate,False
249,30248,white,1-0,1.0,1.0,87,checkmate,False
250,30249,black,1/2-1/2,0.0,0.5,68,threefold_repetition,False
251,30250,white,1/2-1/2,0.0,0.5,100,max_plies,False
252,30251,black,1/2-1/2,0.0,0.5,100,max_plies,False
253,30252,white,1-0,1.0,1.0,39,checkmate,False
254,30253,black,0-1,1.0,1.0,50,checkmate,False
255,30254,white,1-0,1.0,1.0,97,checkmate,False
256,30255,black,1/2-1/2,0.0,0.5,100,max_plies,False
257,30256,white,1/2-1/2,0.0,0.5,100,max_plies,False
258,30257,black,0-1,1.0,1.0,36,checkmate,False
259,30258,white,1-0,1.0,1.0,47,checkmate,False
260,30259,black,1/2-1/2,0.0,0.5,99,threefold_repetition,False
261,30260,white,1-0,1.0,1.0,33,checkmate,False
262,30261,black,0-1,1.0,1.0,70,checkmate,False
263,30262,white,1/2-1/2,0.0,0.5,100,max_plies,False
264,30263,black,0-1,1.0,1.0,30,checkmate,False
265,30264,white,1/2-1/2,0.0,0.5,100,max_plies,False
266,30265,black,0-1,1.0,1.0,78,checkmate,False
267,30266,white,1-0,1.0,1.0,77,checkmate,False
268,30267,black,1/2-1/2,0.0,0.5,100,max_plies,False
269,30268,white,1-0,1.0,1.0,21,checkmate,False
270,30269,black,0-1,1.0,1.0,28,checkmate,False
271,30270,white,1-0,1.0,1.0,75,checkmate,False
272,30271,black,1/2-1/2,0.0,0.5,100,max_plies,False
273,30272,white,1/2-1/2,0.0,0.5,100,max_plies,False
274,30273,black,1/2-1/2,0.0,0.5,94,stalemate,False
275,30274,white,1-0,1.0,1.0,79,checkmate,False
276,30275,black,1/2-1/2,0.0,0.5,100,max_plies,False
277,30276,white,1-0,1.0,1.0,35,checkmate,False
278,30277,black,1/2-1/2,0.0,0.5,100,max_plies,False
279,30278,white,1-0,1.0,1.0,93,checkmate,False
280,30279,black,0-1,1.0,1.0,68,checkmate,False
281,30280,white,1/2-1/2,0.0,0.5,100,max_plies,False
282,30281,black,1/2-1/2,0.0,0.5,92,stalemate,False
283,30282,white,1/2-1/2,0.0,0.5,65,threefold_repetition,False
284,30283,black,0-1,1.0,1.0,44,checkmate,False
285,30284,white,1-0,1.0,1.0,45,checkmate,False
286,30285,black,0-1,1.0,1.0,92,checkmate,False
287,30286,white,1-0,1.0,1.0,91,checkmate,False
288,30287,black,0-1,1.0,1.0,18,checkmate,False
289,30288,white,1-0,1.0,1.0,73,checkmate,False
290,30289,black,0-1,1.0,1.0,16,checkmate,False
291,30290,white,1-0,1.0,1.0,73,checkmate,False
292,30291,black,1/2-1/2,0.0,0.5,59,threefold_repetition,False
293,30292,white,1-0,1.0,1.0,49,checkmate,False
294,30293,black,0-1,1.0,1.0,36,checkmate,False
295,30294,white,1/2-1/2,0.0,0.5,100,max_plies,False
296,30295,black,1/2-1/2,0.0,0.5,64,threefold_repetition,False
297,30296,white,1/2-1/2,0.0,0.5,100,max_plies,False
298,30297,black,0-1,1.0,1.0,46,checkmate,False
299,30298,white,1/2-1/2,0.0,0.5,100,max_plies,False
300,30299,black,1/2-1/2,0.0,0.5,63,threefold_repetition,False
301,30300,white,1/2-1/2,0.0,0.5,100,max_plies,False
302,30301,black,1/2-1/2,0.0,0.5,75,threefold_repetition,False
303,30302,white,1-0,1.0,1.0,67,checkmate,False
304,30303,black,1/2-1/2,0.0,0.5,77,threefold_repetition,False
305,30304,white,1/2-1/2,0.0,0.5,100,max_plies,False
306,30305,black,1/2-1/2,0.0,0.5,67,threefold_repetition,False
307,30306,white,1-0,1.0,1.0,97,checkmate,False
308,30307,black,1/2-1/2,0.0,0.5,100,max_plies,False
309,30308,white,1/2-1/2,0.0,0.5,100,max_plies,False
310,30309,black,1/2-1/2,0.0,0.5,100,max_plies,False
311,30310,white,1-0,1.0,1.0,81,checkmate,False
312,30311,black,1/2-1/2,0.0,0.5,100,max_plies,False
313,30312,white,1/2-1/2,0.0,0.5,91,threefold_repetition,False
314,30313,black,0-1,1.0,1.0,92,checkmate,False
315,30314,white,1/2-1/2,0.0,0.5,100,max_plies,False
316,30315,black,0-1,1.0,1.0,18,checkmate,False
317,30316,white,1/2-1/2,0.0,0.5,63,threefold_repetition,False
318,30317,black,0-1,1.0,1.0,52,checkmate,False
319,30318,white,1-0,1.0,1.0,87,checkmate,False
320,30319,black,1/2-1/2,0.0,0.5,81,threefold_repetition,False
321,30320,white,1/2-1/2,0.0,0.5,100,max_plies,False
322,30321,black,0-1,1.0,1.0,82,checkmate,False
323,30322,white,1-0,1.0,1.0,97,checkmate,False
324,30323,black,0-1,1.0,1.0,12,checkmate,False
325,30324,white,1/2-1/2,0.0,0.5,100,max_plies,False
326,30325,black,1/2-1/2,0.0,0.5,100,max_plies,False
327,30326,white,1-0,1.0,1.0,33,checkmate,False
328,30327,black,1/2-1/2,0.0,0.5,86,threefold_repetition,False
329,30328,white,1-0,1.0,1.0,57,checkmate,False
330,30329,black,1/2-1/2,0.0,0.5,100,max_plies,False
331,30330,white,1/2-1/2,0.0,0.5,100,max_plies,False
332,30331,black,1/2-1/2,0.0,0.5,100,max_plies,False
333,30332,white,1-0,1.0,1.0,71,checkmate,False
334,30333,black,0-1,1.0,1.0,18,checkmate,False
335,30334,white,1/2-1/2,0.0,0.5,100,max_plies,False
336,30335,black,1/2-1/2,0.0,0.5,100,max_plies,False
337,30336,white,1-0,1.0,1.0,45,checkmate,False
338,30337,black,1/2-1/2,0.0,0.5,95,threefold_repetition,False
339,30338,white,1/2-1/2,0.0,0.5,100,max_plies,False
340,30339,black,0-1,1.0,1.0,62,checkmate,False
341,30340,white,1/2-1/2,0.0,0.5,73,threefold_repetition,False
342,30341,black,0-1,1.0,1.0,64,checkmate,False
343,30342,white,1-0,1.0,1.0,13,checkmate,False
344,30343,black,1/2-1/2,0.0,0.5,100,max_plies,False
345,30344,white,1-0,1.0,1.0,29,checkmate,False
346,30345,black,0-1,1.0,1.0,8,checkmate,False
347,30346,white,1/2-1/2,0.0,0.5,46,threefold_repetition,False
348,30347,black,0-1,1.0,1.0,38,checkmate,False
349,30348,white,1-0,1.0,1.0,67,checkmate,False
350,30349,black,1/2-1/2,0.0,0.5,94,threefold_repetition,False
351,30350,white,1-0,1.0,1.0,57,checkmate,False
352,30351,black,0-1,1.0,1.0,42,checkmate,False
353,30352,white,1/2-1/2,0.0,0.5,100,max_plies,False
354,30353,black,1/2-1/2,0.0,0.5,100,max_plies,False
355,30354,white,1/2-1/2,0.0,0.5,100,max_plies,False
356,30355,black,0-1,1.0,1.0,66,checkmate,False
357,30356,white,1/2-1/2,0.0,0.5,100,max_plies,False
358,30357,black,0-1,1.0,1.0,74,checkmate,False
359,30358,white,1/2-1/2,0.0,0.5,100,max_plies,False
360,30359,black,1/2-1/2,0.0,0.5,100,max_plies,False
361,30360,white,1-0,1.0,1.0,25,checkmate,False
362,30361,black,0-1,1.0,1.0,42,checkmate,False
363,30362,white,1-0,1.0,1.0,27,checkmate,False
364,30363,black,1/2-1/2,0.0,0.5,79,threefold_repetition,False
365,30364,white,1-0,1.0,1.0,25,checkmate,False
366,30365,black,0-1,1.0,1.0,76,checkmate,False
367,30366,white,1/2-1/2,0.0,0.5,44,threefold_repetition,False
368,30367,black,1/2-1/2,0.0,0.5,100,max_plies,False
369,30368,white,1/2-1/2,0.0,0.5,100,max_plies,False
370,30369,black,0-1,1.0,1.0,80,checkmate,False
371,30370,white,1/2-1/2,0.0,0.5,28,threefold_repetition,False
372,30371,black,1/2-1/2,0.0,0.5,100,max_plies,False
373,30372,white,1-0,1.0,1.0,15,checkmate,False
374,30373,black,1/2-1/2,0.0,0.5,100,max_plies,False
375,30374,white,1/2-1/2,0.0,0.5,100,max_plies,False
376,30375,black,1/2-1/2,0.0,0.5,100,max_plies,False
377,30376,white,1/2-1/2,0.0,0.5,100,max_plies,False
378,30377,black,0-1,1.0,1.0,32,checkmate,False
379,30378,white,1-0,1.0,1.0,85,checkmate,False
380,30379,black,1/2-1/2,0.0,0.5,76,threefold_repetition,False
381,30380,white,1/2-1/2,0.0,0.5,100,max_plies,False
382,30381,black,0-1,1.0,1.0,62,checkmate,False
383,30382,white,1/2-1/2,0.0,0.5,100,max_plies,False
384,30383,black,0-1,1.0,1.0,42,checkmate,False
385,30384,white,1-0,1.0,1.0,25,checkmate,False
386,30385,black,1/2-1/2,0.0,0.5,100,max_plies,False
387,30386,white,1-0,1.0,1.0,25,checkmate,False
388,30387,black,1/2-1/2,0.0,0.5,94,threefold_repetition,False
389,30388,white,1/2-1/2,0.0,0.5,100,max_plies,False
390,30389,black,1/2-1/2,0.0,0.5,87,threefold_repetition,False
391,30390,white,1-0,1.0,1.0,65,checkmate,False
392,30391,black,1/2-1/2,0.0,0.5,100,max_plies,False
393,30392,white,1/2-1/2,0.0,0.5,100,max_plies,False
394,30393,black,0-1,1.0,1.0,50,checkmate,False
395,30394,white,1/2-1/2,0.0,0.5,100,max_plies,False
396,30395,black,1/2-1/2,0.0,0.5,100,max_plies,False
397,30396,white,1/2-1/2,0.0,0.5,100,max_plies,False
398,30397,black,0-1,1.0,1.0,52,checkmate,False
399,30398,white,1-0,1.0,1.0,21,checkmate,False
400,30399,black,0-1,1.0,1.0,20,checkmate,False
401,30400,white,1-0,1.0,1.0,67,checkmate,False
402,30401,black,1/2-1/2,0.0,0.5,100,max_plies,False
403,30402,white,1-0,1.0,1.0,53,checkmate,False
404,30403,black,1/2-1/2,0.0,0.5,79,threefold_repetition,False
405,30404,white,1/2-1/2,0.0,0.5,100,max_plies,False
406,30405,black,1/2-1/2,0.0,0.5,100,max_plies,False
407,30406,white,1/2-1/2,0.0,0.5,100,max_plies,False
408,30407,black,0-1,1.0,1.0,78,checkmate,False
409,30408,white,1/2-1/2,0.0,0.5,100,max_plies,False
410,30409,black,1/2-1/2,0.0,0.5,100,max_plies,False
411,30410,white,1-0,1.0,1.0,17,checkmate,False
412,30411,black,0-1,1.0,1.0,86,checkmate,False
413,30412,white,1-0,1.0,1.0,21,checkmate,False
414,30413,black,0-1,1.0,1.0,54,checkmate,False
415,30414,white,1/2-1/2,0.0,0.5,100,max_plies,False
416,30415,black,0-1,1.0,1.0,60,checkmate,False
417,30416,white,1-0,1.0,1.0,69,checkmate,False
418,30417,black,1/2-1/2,0.0,0.5,28,threefold_repetition,False
419,30418,white,1/2-1/2,0.0,0.5,100,max_plies,False
420,30419,black,0-1,1.0,1.0,72,checkmate,False
421,30420,white,1-0,1.0,1.0,31,checkmate,False
422,30421,black,0-1,1.0,1.0,46,checkmate,False
423,30422,white,1/2-1/2,0.0,0.5,99,stalemate,False
424,30423,black,0-1,1.0,1.0,30,checkmate,False
425,30424,white,1-0,1.0,1.0,61,checkmate,False
426,30425,black,0-1,1.0,1.0,88,checkmate,False
427,30426,white,1/2-1/2,0.0,0.5,100,max_plies,False
428,30427,black,1/2-1/2,0.0,0.5,51,threefold_repetition,False
429,30428,white,1-0,1.0,1.0,31,checkmate,False
430,30429,black,0-1,1.0,1.0,98,checkmate,False
431,30430,white,1-0,1.0,1.0,21,checkmate,False
432,30431,black,0-1,1.0,1.0,60,checkmate,False
433,30432,white,1-0,1.0,1.0,33,checkmate,False
434,30433,black,0-1,1.0,1.0,56,checkmate,False
435,30434,white,1-0,1.0,1.0,9,checkmate,False
436,30435,black,1/2-1/2,0.0,0.5,82,threefold_repetition,False
