episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
424,20423,black,1-0,-1.0,0.0,43,checkmate,False
425,20424,white,0-1,-1.0,0.0,64,checkmate,False
426,20425,black,1-0,-1.0,0.0,43,checkmate,False
427,20426,white,0-1,-1.0,0.0,64,checkmate,False
428,20427,black,1-0,-1.0,0.0,43,checkmate,False
429,20428,white,0-1,-1.0,0.0,64,checkmate,False
430,20429,black,1-0,-1.0,0.0,43,checkmate,False
431,20430,white,0-1,-1.0,0.0,64,checkmate,False
432,20431,black,1-0,-1.0,0.0,43,checkmate,False
433,20432,white,0-1,-1.0,0.0,64,checkmate,False
434,20433,black,1-0,-1.0,0.0,43,checkmate,False
435,20434,white,0-1,-1.0,0.0,64,checkmate,False
436,20435,black,1-0,-1.0,0.0,43,checkmate,False
437,20436,white,0-1,-1.0,0.0,64,checkmate,False
438,20437,black,1-0,-1.0,0.0,43,checkmate,False
439,20438,white,0-1,-1.0,0.0,64,checkmate,False
440,20439,black,1-0,-1.0,0.0,43,checkmate,False
441,20440,white,0-1,-1.0,0.0,64,checkmate,False
442,20441,black,1-0,-1.0,0.0,43,checkmate,False
443,20442,white,0-1,-1.0,0.0,64,checkmate,False
444,20443,black,1-0,-1.0,0.0,43,checkmate,False
445,20444,white,0-1,-1.0,0.0,64,checkmate,False
446,20445,black,1-0,-1.0,0.0,43,checkmate,False
447,20446,white,0-1,-1.0,0.0,64,checkmate,False
448,20447,black,1-0,-1.0,0.0,43,checkmate,False
449,20448,white,0-1,-1.0,0.0,64,checkmate,False
450,20449,black,1-0,-1.0,0.0,43,checkmate,False
451,20450,white,0-1,-1.0,0.0,64,checkmate,False
452,20451,black,1-0,-1.0,0.0,43,checkmate,False
453,20452,white,0-1,-1.0,0.0,64,checkmate,False
454,20453,black,1-0,-1.0,0.0,43,checkmate,False
455,20454,white,0-1,-1.0,0.0,64,checkmate,False
456,20455,black,1-0,-1.0,0.0,43,checkmate,False
457,20456,white,0-1,-1.0,0.0,64,checkmate,False
