episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
335,21334,white,0-1,-1.0,0.0,46,checkmate,False
336,21335,black,1-0,-1.0,0.0,21,checkmate,False
337,21336,white,0-1,-1.0,0.0,32,checkmate,False
338,21337,black,1-0,-1.0,0.0,37,checkmate,False
339,21338,white,0-1,-1.0,0.0,38,checkmate,False
340,21339,black,1-0,-1.0,0.0,53,checkmate,False
341,21340,white,0-1,-1.0,0.0,24,checkmate,False
342,21341,black,1-0,-1.0,0.0,51,checkmate,False
343,21342,white,0-1,-1.0,0.0,46,checkmate,False
344,21343,black,1-0,-1.0,0.0,15,checkmate,False
345,21344,white,0-1,-1.0,0.0,36,checkmate,False
346,21345,black,1-0,-1.0,0.0,41,checkmate,False
347,21346,white,0-1,-1.0,0.0,30,checkmate,False
348,21347,black,1-0,-1.0,0.0,55,checkmate,False
349,21348,white,0-1,-1.0,0.0,62,checkmate,False
350,21349,black,1-0,-1.0,0.0,37,checkmate,False
351,21350,white,0-1,-1.0,0.0,20,checkmate,False
352,21351,black,1-0,-1.0,0.0,51,checkmate,False
353,21352,white,0-1,-1.0,0.0,42,checkmate,False
354,21353,black,1-0,-1.0,0.0,47,checkmate,False
355,21354,white,0-1,-1.0,0.0,74,checkmate,False
356,21355,black,1-0,-1.0,0.0,19,checkmate,False
357,21356,white,0-1,-1.0,0.0,58,checkmate,False
358,21357,black,1-0,-1.0,0.0,17,checkmate,False
359,21358,white,0-1,-1.0,0.0,44,checkmate,False
360,21359,black,1-0,-1.0,0.0,17,checkmate,False
361,21360,white,0-1,-1.0,0.0,86,checkmate,False
362,21361,black,1-0,-1.0,0.0,21,checkmate,False
363,21362,white,0-1,-1.0,0.0,34,checkmate,False
364,21363,black,1-0,-1.0,0.0,35,checkmate,False
365,21364,white,0-1,-1.0,0.0,42,checkmate,False
366,21365,black,1-0,-1.0,0.0,55,checkmate,False
367,21366,white,0-1,-1.0,0.0,38,checkmate,False
368,21367,black,1-0,-1.0,0.0,83,checkmate,False
369,21368,white,0-1,-1.0,0.0,24,checkmate,False
370,21369,black,1-0,-1.0,0.0,31,checkmate,False
371,21370,white,0-1,-1.0,0.0,34,checkmate,False
372,21371,black,1-0,-1.0,0.0,49,checkmate,False
373,21372,white,0-1,-1.0,0.0,20,checkmate,False
374,21373,black,1-0,-1.0,0.0,17,checkmate,False
375,21374,white,0-1,-1.0,0.0,40,checkmate,False
376,21375,black,1-0,-1.0,0.0,31,checkmate,False
377,21376,white,0-1,-1.0,0.0,68,checkmate,False
