timestamp,step,phase,episode,result,reward,plies,agent_color,opponent,termination,checkpoint
2026-08-26T18:00:06+00:00,0,evaluation,1,1-0,1.0,23,white,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,2,1/2-1/2,0.0,100,black,random,max_plies,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,3,1/2-1/2,0.0,100,white,random,max_plies,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,4,1/2-1/2,0.0,100,black,random,max_plies,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,5,1/2-1/2,0.0,100,white,random,max_plies,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,6,0-1,1.0,32,black,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,7,1/2-1/2,0.0,100,white,random,max_plies,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,8,0-1,1.0,22,black,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,9,1-0,1.0,39,white,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,10,1/2-1/2,0.0,100,black,random,max_plies,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,11,1/2-1/2,0.0,100,white,random,max_plies,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,12,1/2-1/2,0.0,22,black,random,threefold_repetition,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,13,1-0,1.0,59,white,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,14,0-1,1.0,88,black,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,15,1-0,1.0,71,white,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,16,0-1,1.0,40,black,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,17,1/2-1/2,0.0,88,white,random,threefold_repetition,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,18,0-1,1.0,94,black,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,19,1/2-1/2,0.0,90,white,random,threefold_repetition,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,20,0-1,1.0,54,black,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,21,1-0,1.0,93,white,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,22,0-1,1.0,62,black,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,23,1-0,1.0,31,white,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,24,0-1,1.0,18,black,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,25,1-0,1.0,45,white,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,26,1/2-1/2,0.0,64,black,random,threefold_repetition,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,27,1-0,1.0,31,white,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,28,1/2-1/2,0.0,100,black,random,max_plies,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,29,1-0,1.0,27,white,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,30,1/2-1/2,0.0,34,black,random,threefold_repetition,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,31,1/2-1/2,0.0,25,white,random,threefold_repetition,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,32,0-1,1.0,18,black,random,checkmate,step:0:initial
2026-08-26T18:00:06+00:00,0,evaluation,33,1-0,1.0,75,white,random,checkmate,step:0:initial
