episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
102,94101,black,0-1,1.0,1.0,86,checkmate,False
103,94102,white,1-0,1.0,1.0,185,checkmate,False
104,94103,black,1/2-1/2,0.0,0.5,120,threefold_repetition,False
105,94104,white,1-0,1.0,1.0,151,checkmate,False
106,94105,black,1/2-1/2,0.0,0.5,89,threefold_repetition,False
107,94106,white,1/2-1/2,0.0,0.5,56,threefold_repetition,False
108,94107,black,1/2-1/2,0.0,0.5,106,threefold_repetition,False
109,94108,white,1/2-1/2,0.0,0.5,156,threefold_repetition,False
110,94109,black,1/2-1/2,0.0,0.5,200,max_plies,False
111,94110,white,1/2-1/2,0.0,0.5,92,threefold_repetition,False
112,94111,black,0-1,1.0,1.0,34,checkmate,False
113,94112,white,1/2-1/2,0.0,0.5,129,threefold_repetition,False
114,94113,black,1/2-1/2,0.0,0.5,121,threefold_repetition,False
115,94114,white,1-0,1.0,1.0,153,checkmate,False
116,94115,black,1-0,-1.0,0.0,129,checkmate,False
117,94116,white,1-0,1.0,1.0,119,checkmate,False
118,94117,black,0-1,1.0,1.0,76,checkmate,False
119,94118,white,1-0,1.0,1.0,57,checkmate,False
120,94119,black,1/2-1/2,0.0,0.5,145,threefold_repetition,False
121,94120,white,1/2-1/2,0.0,0.5,49,threefold_repetition,False
122,94121,black,1/2-1/2,0.0,0.5,138,threefold_repetition,False
123,94122,white,1/2-1/2,0.0,0.5,200,max_plies,False
124,94123,black,1/2-1/2,0.0,0.5,118,stalemate,False
125,94124,white,1-0,1.0,1.0,35,checkmate,False
126,94125,black,1/2-1/2,0.0,0.5,92,threefold_repetition,False
127,94126,white,1-0,1.0,1.0,113,checkmate,False
128,94127,black,1/2-1/2,0.0,0.5,157,insufficient_material,False
129,94128,white,1-0,1.0,1.0,47,checkmate,False
130,94129,black,1/2-1/2,0.0,0.5,133,threefold_repetition,False
131,94130,white,1/2-1/2,0.0,0.5,200,max_plies,False
132,94131,black,1/2-1/2,0.0,0.5,166,threefold_repetition,False
133,94132,white,1/2-1/2,0.0,0.5,110,threefold_repetition,False
134,94133,black,1/2-1/2,0.0,0.5,31,threefold_repetition,False
135,94134,white,1-0,1.0,1.0,55,checkmate,False
136,94135,black,1/2-1/2,0.0,0.5,126,threefold_repetition,False
137,94136,white,1-0,1.0,1.0,31,checkmate,False
138,94137,black,1/2-1/2,0.0,0.5,98,threefold_repetition,False
139,94138,white,1/2-1/2,0.0,0.5,186,threefold_repetition,False
140,94139,black,1/2-1/2,0.0,0.5,55,threefold_repetition,False
141,94140,white,1-0,1.0,1.0,17,checkmate,False
142,94141,black,1/2-1/2,0.0,0.5,58,threefold_repetition,False
143,94142,white,1/2-1/2,0.0,0.5,125,threefold_repetition,False
144,94143,black,0-1,1.0,1.0,114,checkmate,False
145,94144,white,1-0,1.0,1.0,47,checkmate,False
146,94145,black,1/2-1/2,0.0,0.5,43,threefold_repetition,False
147,94146,white,1/2-1/2,0.0,0.5,168,threefold_repetition,False
148,94147,black,1/2-1/2,0.0,0.5,90,stalemate,False
149,94148,white,1-0,1.0,1.0,57,checkmate,False
150,94149,black,1/2-1/2,0.0,0.5,112,threefold_repetition,False
151,94150,white,1/2-1/2,0.0,0.5,42,threefold_repetition,False
152,94151,black,1/2-1/2,0.0,0.5,55,threefold_repetition,False
153,94152,white,1-0,1.0,1.0,55,checkmate,False
154,94153,black,1/2-1/2,0.0,0.5,200,max_plies,False
155,94154,white,1-0,1.0,1.0,87,checkmate,False
156,94155,black,1/2-1/2,0.0,0.5,97,threefold_repetition,False
157,94156,white,1-0,1.0,1.0,63,checkmate,False
158,94157,black,0-1,1.0,1.0,44,checkmate,False
159,94158,white,1/2-1/2,0.0,0.5,200,max_plies,False
160,94159,black,0-1,1.0,1.0,84,checkmate,False
161,94160,white,1-0,1.0,1.0,57,checkmate,False
162,94161,black,1/2-1/2,0.0,0.5,163,threefold_repetition,False
163,94162,white,1/2-1/2,0.0,0.5,126,threefold_repetition,False
164,94163,black,1-0,-1.0,0.0,173,checkmate,False
165,94164,white,1/2-1/2,0.0,0.5,148,threefold_repetition,False
166,94165,black,1/2-1/2,0.0,0.5,199,insufficient_material,False
167,94166,white,1/2-1/2,0.0,0.5,65,threefold_repetition,False
168,94167,black,1/2-1/2,0.0,0.5,144,threefold_repetition,False
169,94168,white,1-0,1.0,1.0,79,checkmate,False
170,94169,black,0-1,1.0,1.0,68,checkmate,False
171,94170,white,1/2-1/2,0.0,0.5,106,threefold_repetition,False
172,94171,black,1/2-1/2,0.0,0.5,200,max_plies,False
173,94172,white,1-0,1.0,1.0,27,checkmate,False
174,94173,black,1/2-1/2,0.0,0.5,137,threefold_repetition,False
175,94174,white,1/2-1/2,0.0,0.5,150,threefold_repetition,False
176,94175,black,1/2-1/2,0.0,0.5,128,insufficient_material,False
177,94176,white,1-0,1.0,1.0,85,checkmate,False
178,94177,black,0-1,1.0,1.0,134,checkmate,False
179,94178,white,1-0,1.0,1.0,137,checkmate,False
180,94179,black,0-1,1.0,1.0,84,checkmate,False
181,94180,white,1/2-1/2,0.0,0.5,106,threefold_repetition,False
182,94181,black,1/2-1/2,0.0,0.5,200,max_plies,False
183,94182,white,1/2-1/2,0.0,0.5,154,insufficient_material,False
184,94183,black,1/2-1/2,0.0,0.5,86,threefold_repetition,False
185,94184,white,1/2-1/2,0.0,0.5,106,threefold_repetition,False
186,94185,black,1/2-1/2,0.0,0.5,164,threefold_repetition,False
187,94186,white,1-0,1.0,1.0,145,checkmate,False
188,94187,black,1/2-1/2,0.0,0.5,110,threefold_repetition,False
189,94188,white,1/2-1/2,0.0,0.5,136,threefold_repetition,False
190,94189,black,0-1,1.0,1.0,84,checkmate,False
191,94190,white,1/2-1/2,0.0,0.5,180,threefold_repetition,False
192,94191,black,0-1,1.0,1.0,158,checkmate,False
193,94192,white,1/2-1/2,0.0,0.5,164,threefold_repetition,False
194,94193,black,0-1,1.0,1.0,60,checkmate,False
195,94194,white,1/2-1/2,0.0,0.5,200,max_plies,False
196,94195,black,1/2-1/2,0.0,0.5,176,stalemate,False
197,94196,white,1/2-1/2,0.0,0.5,67,stalemate,False
198,94197,black,1/2-1/2,0.0,0.5,190,threefold_repetition,False
199,94198,white,1/2-1/2,0.0,0.5,81,threefold_repetition,False
200,94199,black,0-1,1.0,1.0,20,checkmate,False
201,94200,white,1/2-1/2,0.0,0.5,141,threefold_repetition,False
202,94201,black,0-1,1.0,1.0,90,checkmate,False
203,94202,white,1-0,1.0,1.0,75,checkmate,False
204,94203,black,1/2-1/2,0.0,0.5,103,threefold_repetition,False
205,94204,white,1-0,1.0,1.0,95,checkmate,False
206,94205,black,1/2-1/2,0.0,0.5,37,threefold_repetition,False
