absolute_step,added_timesteps,model_path,wins,draws,losses,score_rate,score_delta,ci_low,ci_high,average_reward,average_plies,max_plies_terminations,checkmates,illegal_actions
24576,0,analysis/ppo_learning_curve/initial_seed94000_1000_games.csv,447,522,31,0.708,0.0,0.0,0.0,0.416,100.736,82,478,0
28672,4096,tmp/full_chess_ppo_alpha_p25_h200_long_seed0_checkpoints/full_chess_ppo_28672.zip,431,537,32,0.6995,-0.0085,-0.030308164536256607,0.013308164536256606,0.399,102.387,77,463,0
32768,8192,tmp/full_chess_ppo_alpha_p25_h200_long_seed0_checkpoints/full_chess_ppo_32768.zip,416,545,39,0.6885,-0.0195,-0.04346650213996245,0.004466502139962452,0.377,104.989,87,455,0
36864,12288,tmp/full_chess_ppo_alpha_p25_h200_long_seed0_checkpoints/full_chess_ppo_36864.zip,401,562,37,0.682,-0.026,-0.04955822719281883,-0.002441772807181171,0.364,104.114,84,438,0
40960,16384,tmp/full_chess_ppo_alpha_p25_h200_long_seed0_checkpoints/full_chess_ppo_40960.zip,415,546,39,0.688,-0.02,-0.04349906308698213,0.0034990630869821265,0.376,104.104,81,454,0
