timestamp,step,phase,episode,result,reward,plies,agent_color,opponent,termination,checkpoint
2026-08-27T17:42:58+00:00,0,evaluation,1,1-0,1.0,23,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,2,1/2-1/2,0.0,100,black,random,max_plies,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,3,1/2-1/2,0.0,100,white,random,max_plies,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,4,1/2-1/2,0.0,100,black,random,max_plies,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,5,1/2-1/2,0.0,100,white,random,max_plies,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,6,0-1,1.0,32,black,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,7,1/2-1/2,0.0,100,white,random,max_plies,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,8,0-1,1.0,22,black,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,9,1-0,1.0,39,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,10,1/2-1/2,0.0,100,black,random,max_plies,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,11,1/2-1/2,0.0,100,white,random,max_plies,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,12,1/2-1/2,0.0,22,black,random,threefold_repetition,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,13,1-0,1.0,59,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,14,0-1,1.0,88,black,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,15,1-0,1.0,71,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,16,0-1,1.0,40,black,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,17,1/2-1/2,0.0,88,white,random,threefold_repetition,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,18,0-1,1.0,94,black,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,19,1/2-1/2,0.0,90,white,random,threefold_repetition,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,20,0-1,1.0,54,black,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,21,1-0,1.0,93,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,22,0-1,1.0,62,black,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,23,1-0,1.0,31,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,24,0-1,1.0,18,black,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,25,1-0,1.0,45,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,26,1/2-1/2,0.0,64,black,random,threefold_repetition,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,27,1-0,1.0,31,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,28,1/2-1/2,0.0,100,black,random,max_plies,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,29,1-0,1.0,27,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,30,1/2-1/2,0.0,34,black,random,threefold_repetition,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,31,1/2-1/2,0.0,25,white,random,threefold_repetition,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,32,0-1,1.0,18,black,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,33,1-0,1.0,75,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,34,1/2-1/2,0.0,100,black,random,max_plies,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,35,1-0,1.0,35,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,36,0-1,1.0,28,black,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,37,1-0,1.0,59,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,38,0-1,1.0,14,black,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,39,1-0,1.0,21,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,40,0-1,1.0,48,black,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,41,1/2-1/2,0.0,27,white,random,threefold_repetition,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,42,1/2-1/2,0.0,100,black,random,max_plies,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,43,1-0,1.0,47,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,44,0-1,1.0,48,black,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,45,1/2-1/2,0.0,73,white,random,threefold_repetition,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,46,1/2-1/2,0.0,100,black,random,max_plies,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,47,1/2-1/2,0.0,100,white,random,max_plies,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,48,0-1,1.0,28,black,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,49,0-1,-1.0,30,white,random,checkmate,step:0:initial
2026-08-27T17:42:58+00:00,0,evaluation,50,0-1,1.0,14,black,random,checkmate,step:0:initial
2026-08-27T17:42:59+00:00,20,train,1,1-0,1.0,39,white,random,checkmate,
2026-08-27T17:42:59+00:00,70,train,2,1/2-1/2,0.0,100,white,random,max_plies,
2026-08-27T17:42:59+00:00,120,train,3,1/2-1/2,0.0,100,white,random,max_plies,
2026-08-27T17:42:59+00:00,170,train,4,1/2-1/2,0.0,100,white,random,max_plies,
2026-08-27T17:42:59+00:00,205,train,5,1-0,1.0,69,white,random,checkmate,
2026-08-27T17:42:59+00:00,236,train,6,0-1,1.0,62,black,random,checkmate,
2026-08-27T17:43:00+00:00,286,train,7,1/2-1/2,0.0,100,black,random,max_plies,
2026-08-27T17:43:00+00:00,296,train,8,1-0,1.0,19,white,random,checkmate,
2026-08-27T17:43:00+00:00,346,train,9,1/2-1/2,0.0,100,black,random,max_plies,
2026-08-27T17:43:00+00:00,388,train,10,0-1,1.0,84,black,random,checkmate,
2026-08-27T17:43:00+00:00,407,train,11,1-0,1.0,37,white,random,checkmate,
2026-08-27T17:43:00+00:00,457,train,12,1/2-1/2,0.0,100,white,random,max_plies,
2026-08-27T17:43:00+00:00,481,train,13,0-1,1.0,48,black,random,checkmate,
2026-08-27T17:43:00+00:00,531,train,14,1/2-1/2,0.0,100,black,random,max_plies,
2026-08-27T17:43:00+00:00,574,train,15,1-0,1.0,85,white,random,checkmate,
2026-08-27T17:43:01+00:00,624,train,16,1/2-1/2,0.0,100,black,random,max_plies,
2026-08-27T17:43:01+00:00,674,train,17,1/2-1/2,0.0,100,black,random,max_plies,
2026-08-27T17:43:01+00:00,719,train,18,0-1,1.0,90,black,random,checkmate,
2026-08-27T17:43:01+00:00,769,train,19,1/2-1/2,0.0,100,black,random,max_plies,
2026-08-27T17:43:01+00:00,819,train,20,1/2-1/2,0.0,100,black,random,max_plies,
2026-08-27T17:43:01+00:00,869,train,21,1/2-1/2,0.0,100,white,random,max_plies,
2026-08-27T17:43:01+00:00,884,train,22,0-1,1.0,30,black,random,checkmate,
2026-08-27T17:43:01+00:00,903,train,23,0-1,1.0,38,black,random,checkmate,
2026-08-27T17:43:01+00:00,953,train,24,1/2-1/2,0.0,100,black,random,max_plies,
2026-08-27T17:43:02+00:00,1001,train,25,0-1,-1.0,96,white,random,checkmate,
2026-08-27T17:43:02+00:00,1045,train,26,0-1,1.0,88,black,random,checkmate,
2026-08-27T17:43:02+00:00,1085,train,27,1-0,1.0,79,white,random,checkmate,
2026-08-27T17:43:02+00:00,1106,train,28,0-1,1.0,42,black,random,checkmate,
2026-08-27T17:43:02+00:00,1156,train,29,1/2-1/2,0.0,100,black,random,max_plies,
2026-08-27T17:43:02+00:00,1179,train,30,0-1,1.0,46,black,random,checkmate,
2026-08-27T17:43:02+00:00,1229,train,31,1/2-1/2,0.0,100,black,random,max_plies,
2026-08-27T17:43:02+00:00,1279,train,32,1/2-1/2,0.0,100,white,random,max_plies,
2026-08-27T17:43:02+00:00,1286,train,33,0-1,1.0,14,black,random,checkmate,
2026-08-27T17:43:03+00:00,1315,train,34,0-1,1.0,58,black,random,checkmate,
