absolute_step,added_timesteps,model_path,mean_kl_reference_to_candidate,mean_js_divergence,top1_agreement_rate,entropy,entropy_delta,accuracy,accuracy_delta,correct_probability,correct_probability_delta,candidate_only_correct,reference_only_correct,puzzles,agent_positions
24576,0,tmp/full_chess_ppo_alpha_p25_initial.zip,0.0,0.0,1.0,0.5513338596313846,0.0,0.7438613185494715,0.0,0.6891001158476903,0.0,0,0,20190,48341
28672,4096,tmp/full_chess_ppo_alpha_p25_h200_long_seed2_checkpoints/full_chess_ppo_28672.zip,0.0018463254463063129,0.00046085796390002773,0.986677975217724,0.5527680738003209,0.0014342141689362986,0.7440268095405557,0.00016549099108420506,0.6886930052852182,-0.00040711056247211275,220,212,20190,48341
32768,8192,tmp/full_chess_ppo_alpha_p25_h200_long_seed2_checkpoints/full_chess_ppo_32768.zip,0.006120292846557928,0.001507641692437716,0.9747833102335491,0.544401632806936,-0.006932226824448606,0.7433441592023334,-0.0005171593471380298,0.6895786484729787,0.0004785326252884081,406,431,20190,48341
36864,12288,tmp/full_chess_ppo_alpha_p25_h200_long_seed2_checkpoints/full_chess_ppo_36864.zip,0.0077698712257667,0.001905732015366596,0.9697565213793674,0.544539306809401,-0.0067945528219836016,0.7422684677602863,-0.0015928507891851407,0.6894836180909175,0.0003835022432272517,461,538,20190,48341
40960,16384,tmp/full_chess_ppo_alpha_p25_h200_long_seed2_checkpoints/full_chess_ppo_40960.zip,0.009925398554348649,0.0024389203952458233,0.9656192466022631,0.5486397879339932,-0.0026940716973914425,0.7423512132558284,-0.0015101052936430381,0.6893963601467514,0.0002962442990611658,527,600,20190,48341
