episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,94000,white,1/2-1/2,0.0,0.5,73,threefold_repetition,False
2,94001,black,1/2-1/2,0.0,0.5,200,max_plies,False
3,94002,white,1/2-1/2,0.0,0.5,192,threefold_repetition,False
4,94003,black,1/2-1/2,0.0,0.5,105,threefold_repetition,False
5,94004,white,1/2-1/2,0.0,0.5,81,threefold_repetition,False
6,94005,black,0-1,1.0,1.0,112,checkmate,False
7,94006,white,1-0,1.0,1.0,25,checkmate,False
8,94007,black,1/2-1/2,0.0,0.5,177,threefold_repetition,False
9,94008,white,1/2-1/2,0.0,0.5,25,threefold_repetition,False
10,94009,black,1/2-1/2,0.0,0.5,88,threefold_repetition,False
11,94010,white,1/2-1/2,0.0,0.5,200,max_plies,False
12,94011,black,1/2-1/2,0.0,0.5,200,max_plies,False
13,94012,white,1/2-1/2,0.0,0.5,126,threefold_repetition,False
14,94013,black,0-1,1.0,1.0,82,checkmate,False
15,94014,white,1/2-1/2,0.0,0.5,106,threefold_repetition,False
16,94015,black,0-1,1.0,1.0,62,checkmate,False
17,94016,white,1/2-1/2,0.0,0.5,95,threefold_repetition,False
18,94017,black,0-1,1.0,1.0,162,checkmate,False
19,94018,white,1-0,1.0,1.0,87,checkmate,False
20,94019,black,1/2-1/2,0.0,0.5,100,threefold_repetition,False
21,94020,white,1-0,1.0,1.0,163,checkmate,False
22,94021,black,1/2-1/2,0.0,0.5,200,max_plies,False
23,94022,white,1-0,1.0,1.0,41,checkmate,False
24,94023,black,0-1,1.0,1.0,106,checkmate,False
25,94024,white,1-0,1.0,1.0,83,checkmate,False
26,94025,black,1/2-1/2,0.0,0.5,108,threefold_repetition,False
27,94026,white,1/2-1/2,0.0,0.5,115,threefold_repetition,False
28,94027,black,1/2-1/2,0.0,0.5,71,threefold_repetition,False
29,94028,white,1-0,1.0,1.0,105,checkmate,False
30,94029,black,0-1,1.0,1.0,62,checkmate,False
31,94030,white,1-0,1.0,1.0,89,checkmate,False
32,94031,black,1/2-1/2,0.0,0.5,72,threefold_repetition,False
33,94032,white,1/2-1/2,0.0,0.5,162,insufficient_material,False
34,94033,black,1-0,-1.0,0.0,25,checkmate,False
35,94034,white,1/2-1/2,0.0,0.5,135,threefold_repetition,False
36,94035,black,0-1,1.0,1.0,60,checkmate,False
37,94036,white,1-0,1.0,1.0,113,checkmate,False
38,94037,black,1-0,-1.0,0.0,25,checkmate,False
39,94038,white,1-0,1.0,1.0,29,checkmate,False
40,94039,black,0-1,1.0,1.0,84,checkmate,False
41,94040,white,1/2-1/2,0.0,0.5,140,threefold_repetition,False
42,94041,black,0-1,1.0,1.0,26,checkmate,False
43,94042,white,1-0,1.0,1.0,33,checkmate,False
44,94043,black,0-1,1.0,1.0,114,checkmate,False
45,94044,white,1-0,1.0,1.0,67,checkmate,False
46,94045,black,1/2-1/2,0.0,0.5,200,max_plies,False
47,94046,white,1-0,1.0,1.0,59,checkmate,False
48,94047,black,0-1,1.0,1.0,64,checkmate,False
49,94048,white,1/2-1/2,0.0,0.5,84,threefold_repetition,False
50,94049,black,1/2-1/2,0.0,0.5,122,threefold_repetition,False
51,94050,white,1/2-1/2,0.0,0.5,122,threefold_repetition,False
52,94051,black,1/2-1/2,0.0,0.5,135,threefold_repetition,False
53,94052,white,1/2-1/2,0.0,0.5,183,threefold_repetition,False
54,94053,black,0-1,1.0,1.0,76,checkmate,False
55,94054,white,1/2-1/2,0.0,0.5,199,threefold_repetition,False
56,94055,black,1/2-1/2,0.0,0.5,81,threefold_repetition,False
57,94056,white,1-0,1.0,1.0,113,checkmate,False
58,94057,black,1/2-1/2,0.0,0.5,106,threefold_repetition,False
59,94058,white,1/2-1/2,0.0,0.5,89,threefold_repetition,False
60,94059,black,1/2-1/2,0.0,0.5,73,threefold_repetition,False
61,94060,white,1-0,1.0,1.0,79,checkmate,False
62,94061,black,1/2-1/2,0.0,0.5,113,threefold_repetition,False
63,94062,white,1-0,1.0,1.0,101,checkmate,False
64,94063,black,1/2-1/2,0.0,0.5,112,threefold_repetition,False
65,94064,white,1/2-1/2,0.0,0.5,126,threefold_repetition,False
66,94065,black,1/2-1/2,0.0,0.5,121,threefold_repetition,False
67,94066,white,1/2-1/2,0.0,0.5,112,threefold_repetition,False
68,94067,black,1/2-1/2,0.0,0.5,44,threefold_repetition,False
69,94068,white,1/2-1/2,0.0,0.5,114,threefold_repetition,False
70,94069,black,0-1,1.0,1.0,34,checkmate,False
71,94070,white,1-0,1.0,1.0,39,checkmate,False
72,94071,black,1/2-1/2,0.0,0.5,37,threefold_repetition,False
73,94072,white,1/2-1/2,0.0,0.5,83,threefold_repetition,False
74,94073,black,1/2-1/2,0.0,0.5,89,threefold_repetition,False
75,94074,white,1-0,1.0,1.0,77,checkmate,False
76,94075,black,1/2-1/2,0.0,0.5,92,threefold_repetition,False
77,94076,white,1-0,1.0,1.0,87,checkmate,False
78,94077,black,1/2-1/2,0.0,0.5,106,threefold_repetition,False
79,94078,white,1-0,1.0,1.0,91,checkmate,False
80,94079,black,1/2-1/2,0.0,0.5,92,threefold_repetition,False
81,94080,white,1-0,1.0,1.0,7,checkmate,False
82,94081,black,1/2-1/2,0.0,0.5,36,threefold_repetition,False
83,94082,white,1-0,1.0,1.0,51,checkmate,False
84,94083,black,0-1,1.0,1.0,18,checkmate,False
85,94084,white,1/2-1/2,0.0,0.5,96,threefold_repetition,False
86,94085,black,0-1,1.0,1.0,84,checkmate,False
87,94086,white,1/2-1/2,0.0,0.5,197,insufficient_material,False
88,94087,black,0-1,1.0,1.0,114,checkmate,False
89,94088,white,1/2-1/2,0.0,0.5,200,max_plies,False
90,94089,black,0-1,1.0,1.0,36,checkmate,False
91,94090,white,0-1,-1.0,0.0,22,checkmate,False
92,94091,black,1/2-1/2,0.0,0.5,33,threefold_repetition,False
93,94092,white,1-0,1.0,1.0,111,checkmate,False
94,94093,black,0-1,1.0,1.0,114,checkmate,False
95,94094,white,1/2-1/2,0.0,0.5,49,threefold_repetition,False
96,94095,black,1/2-1/2,0.0,0.5,73,threefold_repetition,False
97,94096,white,1/2-1/2,0.0,0.5,124,threefold_repetition,False
98,94097,black,0-1,1.0,1.0,86,checkmate,False
99,94098,white,1/2-1/2,0.0,0.5,54,threefold_repetition,False
100,94099,black,1/2-1/2,0.0,0.5,86,threefold_repetition,False
101,94100,white,1/2-1/2,0.0,0.5,73,threefold_repetition,False
102,94101,black,1/2-1/2,0.0,0.5,200,max_plies,False
103,94102,white,1/2-1/2,0.0,0.5,200,max_plies,False
104,94103,black,1/2-1/2,0.0,0.5,112,stalemate,False
105,94104,white,1-0,1.0,1.0,69,checkmate,False
106,94105,black,1/2-1/2,0.0,0.5,24,threefold_repetition,False
107,94106,white,1/2-1/2,0.0,0.5,81,threefold_repetition,False
108,94107,black,1/2-1/2,0.0,0.5,79,threefold_repetition,False
109,94108,white,1/2-1/2,0.0,0.5,106,threefold_repetition,False
110,94109,black,1/2-1/2,0.0,0.5,81,threefold_repetition,False
111,94110,white,1/2-1/2,0.0,0.5,199,threefold_repetition,False
112,94111,black,1/2-1/2,0.0,0.5,200,max_plies,False
113,94112,white,1-0,1.0,1.0,33,checkmate,False
114,94113,black,1/2-1/2,0.0,0.5,200,max_plies,False
115,94114,white,1/2-1/2,0.0,0.5,45,threefold_repetition,False
116,94115,black,1/2-1/2,0.0,0.5,108,threefold_repetition,False
117,94116,white,1/2-1/2,0.0,0.5,117,stalemate,False
118,94117,black,1/2-1/2,0.0,0.5,162,threefold_repetition,False
119,94118,white,1-0,1.0,1.0,91,checkmate,False
120,94119,black,1/2-1/2,0.0,0.5,181,insufficient_material,False
121,94120,white,1-0,1.0,1.0,25,checkmate,False
122,94121,black,1/2-1/2,0.0,0.5,142,threefold_repetition,False
123,94122,white,1/2-1/2,0.0,0.5,87,threefold_repetition,False
124,94123,black,0-1,1.0,1.0,26,checkmate,False
125,94124,white,1/2-1/2,0.0,0.5,115,threefold_repetition,False
126,94125,black,1/2-1/2,0.0,0.5,199,threefold_repetition,False
127,94126,white,1-0,1.0,1.0,13,checkmate,False
128,94127,black,1/2-1/2,0.0,0.5,200,max_plies,False
129,94128,white,1/2-1/2,0.0,0.5,121,threefold_repetition,False
130,94129,black,1/2-1/2,0.0,0.5,200,max_plies,False
131,94130,white,1-0,1.0,1.0,21,checkmate,False
132,94131,black,1/2-1/2,0.0,0.5,96,threefold_repetition,False
133,94132,white,1-0,1.0,1.0,55,checkmate,False
134,94133,black,1/2-1/2,0.0,0.5,76,threefold_repetition,False
135,94134,white,1-0,1.0,1.0,91,checkmate,False
136,94135,black,0-1,1.0,1.0,34,checkmate,False
137,94136,white,1-0,1.0,1.0,31,checkmate,False
138,94137,black,0-1,1.0,1.0,94,checkmate,False
139,94138,white,1/2-1/2,0.0,0.5,95,threefold_repetition,False
140,94139,black,0-1,1.0,1.0,132,checkmate,False
141,94140,white,0-1,-1.0,0.0,22,checkmate,False
142,94141,black,0-1,1.0,1.0,106,checkmate,False
143,94142,white,0-1,-1.0,0.0,26,checkmate,False
144,94143,black,0-1,1.0,1.0,70,checkmate,False
145,94144,white,1-0,1.0,1.0,81,checkmate,False
146,94145,black,0-1,1.0,1.0,150,checkmate,False
147,94146,white,1/2-1/2,0.0,0.5,181,threefold_repetition,False
148,94147,black,1/2-1/2,0.0,0.5,42,threefold_repetition,False
149,94148,white,1/2-1/2,0.0,0.5,85,threefold_repetition,False
150,94149,black,1/2-1/2,0.0,0.5,60,threefold_repetition,False
151,94150,white,1/2-1/2,0.0,0.5,93,threefold_repetition,False
152,94151,black,1/2-1/2,0.0,0.5,101,threefold_repetition,False
153,94152,white,1-0,1.0,1.0,87,checkmate,False
154,94153,black,1/2-1/2,0.0,0.5,200,max_plies,False
155,94154,white,1-0,1.0,1.0,89,checkmate,False
156,94155,black,1/2-1/2,0.0,0.5,127,threefold_repetition,False
157,94156,white,1-0,1.0,1.0,35,checkmate,False
158,94157,black,1/2-1/2,0.0,0.5,60,threefold_repetition,False
159,94158,white,1/2-1/2,0.0,0.5,200,max_plies,False
160,94159,black,1/2-1/2,0.0,0.5,76,threefold_repetition,False
161,94160,white,1-0,1.0,1.0,127,checkmate,False
162,94161,black,0-1,1.0,1.0,112,checkmate,False
163,94162,white,1-0,1.0,1.0,83,checkmate,False
164,94163,black,1/2-1/2,0.0,0.5,173,threefold_repetition,False
165,94164,white,1-0,1.0,1.0,125,checkmate,False
166,94165,black,1/2-1/2,0.0,0.5,185,threefold_repetition,False
167,94166,white,1-0,1.0,1.0,33,checkmate,False
168,94167,black,1/2-1/2,0.0,0.5,90,threefold_repetition,False
169,94168,white,1/2-1/2,0.0,0.5,105,stalemate,False
170,94169,black,1/2-1/2,0.0,0.5,168,stalemate,False
171,94170,white,1/2-1/2,0.0,0.5,200,max_plies,False
172,94171,black,1/2-1/2,0.0,0.5,97,threefold_repetition,False
173,94172,white,1-0,1.0,1.0,7,checkmate,False
174,94173,black,1/2-1/2,0.0,0.5,200,max_plies,False
175,94174,white,1/2-1/2,0.0,0.5,97,threefold_repetition,False
176,94175,black,0-1,1.0,1.0,132,checkmate,False
177,94176,white,1/2-1/2,0.0,0.5,104,threefold_repetition,False
178,94177,black,1/2-1/2,0.0,0.5,155,threefold_repetition,False
179,94178,white,1-0,1.0,1.0,77,checkmate,False
180,94179,black,1/2-1/2,0.0,0.5,75,threefold_repetition,False
181,94180,white,1/2-1/2,0.0,0.5,83,threefold_repetition,False
182,94181,black,1/2-1/2,0.0,0.5,94,stalemate,False
183,94182,white,1-0,1.0,1.0,31,checkmate,False
184,94183,black,1/2-1/2,0.0,0.5,118,threefold_repetition,False
185,94184,white,1/2-1/2,0.0,0.5,48,threefold_repetition,False
186,94185,black,1/2-1/2,0.0,0.5,82,threefold_repetition,False
187,94186,white,1/2-1/2,0.0,0.5,100,threefold_repetition,False
188,94187,black,0-1,1.0,1.0,130,checkmate,False
189,94188,white,1-0,1.0,1.0,25,checkmate,False
190,94189,black,1/2-1/2,0.0,0.5,200,max_plies,False
191,94190,white,1-0,1.0,1.0,109,checkmate,False
192,94191,black,0-1,1.0,1.0,12,checkmate,False
193,94192,white,1/2-1/2,0.0,0.5,180,threefold_repetition,False
194,94193,black,1/2-1/2,0.0,0.5,200,max_plies,False
195,94194,white,1/2-1/2,0.0,0.5,134,insufficient_material,False
196,94195,black,0-1,1.0,1.0,36,checkmate,False
197,94196,white,1-0,1.0,1.0,111,checkmate,False
198,94197,black,0-1,1.0,1.0,26,checkmate,False
199,94198,white,1/2-1/2,0.0,0.5,31,threefold_repetition,False
200,94199,black,0-1,1.0,1.0,22,checkmate,False
201,94200,white,1/2-1/2,0.0,0.5,200,max_plies,False
202,94201,black,1/2-1/2,0.0,0.5,105,threefold_repetition,False
203,94202,white,1/2-1/2,0.0,0.5,28,threefold_repetition,False
204,94203,black,0-1,1.0,1.0,150,checkmate,False
205,94204,white,1-0,1.0,1.0,115,checkmate,False
206,94205,black,1/2-1/2,0.0,0.5,200,max_plies,False
