timestamp,step,phase,episode,result,reward,plies,agent_color,opponent,termination,checkpoint
2026-08-30T17:23:41+00:00,16384,evaluation,46,0-1,1.0,40,black,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,47,1/2-1/2,0.0,59,white,alpha-random,threefold_repetition,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,48,1/2-1/2,0.0,100,black,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,49,1-0,1.0,97,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,50,0-1,1.0,48,black,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,51,1/2-1/2,0.0,100,white,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,52,1/2-1/2,0.0,100,black,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,53,1-0,1.0,7,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,54,1/2-1/2,0.0,76,black,alpha-random,threefold_repetition,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,55,1/2-1/2,0.0,100,white,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,56,1/2-1/2,0.0,98,black,alpha-random,threefold_repetition,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,57,1-0,1.0,23,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,58,0-1,1.0,44,black,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,59,1-0,1.0,89,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,60,1/2-1/2,0.0,100,black,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,61,1-0,1.0,85,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,62,1/2-1/2,0.0,37,black,alpha-random,threefold_repetition,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,63,1/2-1/2,0.0,100,white,alpha-random,max_plies,step:16384:initial
