episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
489,40488,white,1-0,1.0,1.0,95,checkmate,False
490,40489,black,1/2-1/2,0.0,0.5,60,threefold_repetition,False
491,40490,white,1/2-1/2,0.0,0.5,71,threefold_repetition,False
492,40491,black,1/2-1/2,0.0,0.5,100,max_plies,False
493,40492,white,1/2-1/2,0.0,0.5,35,threefold_repetition,False
494,40493,black,0-1,1.0,1.0,94,checkmate,False
495,40494,white,1/2-1/2,0.0,0.5,94,threefold_repetition,False
496,40495,black,1/2-1/2,0.0,0.5,100,max_plies,False
497,40496,white,1/2-1/2,0.0,0.5,100,max_plies,False
498,40497,black,0-1,1.0,1.0,30,checkmate,False
499,40498,white,1/2-1/2,0.0,0.5,100,max_plies,False
500,40499,black,1/2-1/2,0.0,0.5,100,max_plies,False
