absolute_step,added_timesteps,model_path,mean_kl_reference_to_candidate,mean_js_divergence,top1_agreement_rate,entropy,entropy_delta,accuracy,accuracy_delta,correct_probability,correct_probability_delta,candidate_only_correct,reference_only_correct,puzzles,agent_positions
24576,0,tmp/full_chess_ppo_alpha_p25_initial.zip,0.0,0.0,1.0,0.5513338596313846,0.0,0.7438613185494715,0.0,0.6891001158476903,0.0,0,0,20190,48341
28672,4096,tmp/full_chess_ppo_alpha_p25_h200_long_seed1_checkpoints/full_chess_ppo_28672.zip,0.004323425205667391,0.0010782860562208135,0.9788378395151114,0.5547005204077015,0.0033666607763168654,0.7423925860035995,-0.0014687325458719869,0.6877936504345369,-0.0013064654131533793,307,378,20190,48341
32768,8192,tmp/full_chess_ppo_alpha_p25_h200_long_seed1_checkpoints/full_chess_ppo_32768.zip,0.00717306753772803,0.00177043452818973,0.9715976086551789,0.5467715214651934,-0.0045623381661912266,0.7420822903953166,-0.0017790281541548714,0.6886223118898559,-0.00047780395783436624,419,505,20190,48341
36864,12288,tmp/full_chess_ppo_alpha_p25_h200_long_seed1_checkpoints/full_chess_ppo_36864.zip,0.01604485947240199,0.003940857409026656,0.9566620467098322,0.5566024143716116,0.005268554740227027,0.7392482571730001,-0.004613061376471328,0.6853861742138567,-0.0037139416338335396,605,828,20190,48341
40960,16384,tmp/full_chess_ppo_alpha_p25_h200_long_seed1_checkpoints/full_chess_ppo_40960.zip,0.0173260662965049,0.004263810373291638,0.9554829233983575,0.5600860518245017,0.00875219219311707,0.7391034525558015,-0.004757865993670007,0.6843117919016957,-0.004788323945994599,625,855,20190,48341
